id,entidad,proporcion_pob_mex_2008,proporcion_pob_mex_2009,proporcion_pob_mex_2010,proporcion_pob_mex_2011,proporcion_pob_mex_2012,proporcion_pob_mex_2013,proporcion_pob_mex_2014,proporcion_pob_mex_2015,proporcion_pob_mex_2016,proporcion_pob_mex_2017,proporcion_pob_mex_2018,poblacion_pob_mex_2008,poblacion_pob_mex_2009,poblacion_pob_mex_2010,poblacion_pob_mex_2011,poblacion_pob_mex_2012,poblacion_pob_mex_2013,poblacion_pob_mex_2014,poblacion_pob_mex_2015,poblacion_pob_mex_2016,poblacion_pob_mex_2017,poblacion_pob_mex_2018,poblacion_total_2008,poblacion_total_2009,poblacion_total_2010,poblacion_total_2011,poblacion_total_2012,poblacion_total_2013,poblacion_total_2014,poblacion_total_2015,poblacion_total_2016,poblacion_total_2017,poblacion_total_2018
11,Guanajuato,44.058458288034004,46.28537625077381,48.512294213513606,46.489469049892804,44.466643886272,45.510820597641896,46.554997309011796,44.45744519326395,42.359893077516105,42.87187346946415,43.3838538614122,2403.555,2553.6485000000002,2703.742,2614.7955,2525.849,2604.5655,2683.282,2586.4985,2489.715,2538.7740000000003,2587.833,5455.3769999999995,5514.344999999999,5573.313,5626.818,5680.323,5722.0025000000005,5763.682,5820.6055,5877.529,5921.248500000001,5964.968000000001
12,Guerrero,68.4431824854304,68.00687679405826,67.5705711026861,68.63336017226425,69.69614924184239,67.4571119490155,65.2180746561886,64.81273512153331,64.40739558687801,65.43844193457636,66.46948828227471,2319.599,2324.78,2329.9610000000002,2386.432,2442.903,2379.1620000000003,2315.4210000000003,2315.0705,2314.72,2363.4595,2412.199,3389.087,3418.638,3448.1890000000003,3476.6324999999997,3505.0759999999996,3527.6755,3550.275,3572.074,3593.873,3611.4525000000003,3629.032
13,Hidalgo,55.18178683728289,54.925120958728996,54.66845508017511,53.7207879098826,52.7731207395901,53.538336887041,54.3035530344919,52.46194172075781,50.62033040702371,47.2327429489778,43.8451554909319,1443.6029999999998,1460.3274999999999,1477.0520000000001,1471.48,1465.908,1506.8600000000001,1547.8120000000001,1513.324,1478.836,1394.9695,1311.1029999999998,2616.0860000000002,2658.9610000000002,2701.836,2739.7955,2777.755,2814.0254999999997,2850.296,2885.8615,2921.427,2955.865,2990.303
14,Jalisco,36.6930090950356,36.8713701600649,37.049731225094206,38.41941448060925,39.7890977361243,37.5787516410026,35.3684055458809,33.59121004088635,31.8140145358918,30.1215934660652,28.429172396238602,2657.0959999999995,2711.874,2766.652,2908.8225,3050.993,2915.608,2780.223,2670.4075000000003,2560.592,2449.1175000000003,2337.643,7241.423000000001,7354.412,7467.401,7567.656499999999,7667.911999999999,7764.3325,7860.753000000001,7954.691000000001,8048.629,8135.66,8222.690999999999
15,Mexico,55.472533115416695,55.100378077985546,54.7282230405544,54.54742287175485,54.3666227029553,56.806977202626044,59.2473317022968,57.292641696752796,55.3379516912088,50.69123352661926,46.044515362029706,2411.178,2418.0085,2424.839,2436.2659999999996,2447.6929999999998,2578.162,2708.631,2637.2465,2565.862,2363.89,2161.9179999999997,4346.616,4388.654,4430.692,4466.445,4502.198,4536.9665,4571.735,4604.224,4636.713,4665.9955,4695.278
16,Michoacan,48.8263771500667,46.034310388741105,43.242243627415505,44.3472360034751,45.4522283795347,48.8621024406316,52.271976501728496,50.908309583255104,49.544642664781705,50.1801050659733,50.8155674671649,857.586,819.8765,782.1669999999999,812.8319999999999,843.497,918.6134999999999,993.73,979.7909999999999,965.852,989.591,1013.33,1756.399,1782.6009999999999,1808.8029999999999,1832.2954999999997,1855.7879999999998,1878.4319999999998,1901.076,1925.2669999999998,1949.4579999999999,1971.7954999999997,1994.1329999999998
17,Morelos,43.5656315430626,43.2285230068347,42.8914144706068,44.112897182769544,45.3343798949323,47.467193977913794,49.6000080608953,48.73791797832685,47.8758278957584,45.29591587907445,42.7160038623905,6578.186,6645.118,6712.05,7020.3925,7328.735,7799.2935,8269.851999999999,8250.026,8230.2,7888.371,7546.5419999999995,15099.485,15374.210500000001,15648.936000000002,15907.445,16165.954,16419.52,16673.086,16931.9035,17190.721,17428.75,17666.779
18,Nayarit,41.745837034530396,41.55156805069195,41.3572990668535,44.4913034311363,47.625307795419104,44.06431022922111,40.5033126630231,39.0144224596362,37.5255322562493,36.1479792478589,34.7704262394685,444.111,452.676,461.241,507.3945,553.548,521.188,488.82800000000003,479.47900000000004,470.13,460.54200000000003,450.954,1063.845,1089.5520000000001,1115.259,1138.7785,1162.298,1184.591,1206.884,1229.8555000000001,1252.827,1274.887,1296.947
19,Nuevo Leon,21.365400006521803,21.191476241728402,21.017552476935002,22.132169251343903,23.2467860257528,21.80648341185665,20.3661807979605,17.30587299222865,14.245565186496801,14.3863070584121,14.527048930327402,976.252,985.3395,994.427,1063.6505,1132.874,1077.804,1022.7339999999999,880.2494999999999,737.765,755.3965000000001,773.028,4569.313,4650.3625,4731.412,4802.331,4873.25,4947.4884999999995,5021.727,5100.318499999999,5178.91,5250.1055,5321.3009999999995
20,Oaxaca,61.8033808469075,64.39539780407435,66.98741476124121,64.46238298301385,61.9373512047865,64.34372229177166,66.7500933787568,68.57559905057414,70.4011047223915,68.37636345671854,66.35162219104559,2354.448,2475.35,2596.252,2515.4235,2434.595,2548.6715,2662.748,2755.0445,2847.341,2781.0190000000002,2714.697,3809.578,3842.6544999999996,3875.7309999999998,3903.2344999999996,3930.738,3959.934,3989.13,4016.7925,4044.455,4067.9175,4091.38
