id,entidad,proporcion_pobreza_1_90_2008,proporcion_pobreza_1_90_2009,proporcion_pobreza_1_90_2010,proporcion_pobreza_1_90_2011,proporcion_pobreza_1_90_2012,proporcion_pobreza_1_90_2013,proporcion_pobreza_1_90_2014,poblacion_pobreza_1_90_2008,poblacion_pobreza_1_90_2009,poblacion_pobreza_1_90_2010,poblacion_pobreza_1_90_2011,poblacion_pobreza_1_90_2012,poblacion_pobreza_1_90_2013,poblacion_pobreza_1_90_2014,poblacion_total_2008,poblacion_total_2009,poblacion_total_2010,poblacion_total_2011,poblacion_total_2012,poblacion_total_2013,poblacion_total_2014
11,Guanajuato,3.617256883,3.9923654754999998,4.367474068,4.2278813545,4.088288641,3.5483198635,3.0083510860000002,197.335,220.374,243.41299999999998,237.82049999999998,232.22799999999998,202.8225,173.417,5455.3769999999995,5514.344999999999,5573.313,5626.818,5680.323,5722.4215,5764.52
12,Guerrero,20.12769846,19.413061235,18.69842401,18.94435345,19.19028289,15.91839106,12.64649923,682.3639999999999,663.5604999999999,644.757,658.6954999999999,672.6339999999999,560.8475,449.061,3390.1740000000004,3419.1815000000006,3448.1890000000003,3476.6324999999997,3505.0759999999996,3527.974,3550.8720000000003
13,Hidalgo,8.746180338,8.0799953995,7.413810461000001,7.133773331,6.853736201,7.1767370115,7.499737822,228.892,214.6005,200.30900000000003,195.3445,190.38,202.103,213.826,2617.051,2659.4435,2701.836,2739.7955,2777.755,2814.434,2851.113
14,Jalisco,2.350214868,3.4233394495000002,4.496464031,4.775614959,5.054765887,3.7387299990000002,2.4226941109999998,170.18900000000002,252.979,335.769,361.682,387.595,289.0185,190.442,7241.423000000001,7354.412,7467.401,7567.656499999999,7667.911999999999,7764.3325,7860.753000000001
15,Mexico,7.8847391710000005,7.0428446355,6.2009501,5.8450900135,5.489229927,5.43494998,5.3806700329999995,342.73400000000004,308.7395,274.745,260.9405,247.136,246.5985,246.06099999999998,4346.802,4388.746999999999,4430.692,4466.445,4502.198,4537.6265,4573.055
16,Michoacan,5.406305879,4.4980968885,3.589887898,3.0277625685,2.465637239,2.8826941185,3.299750998,95.088,80.011,64.934,55.3455,45.757,54.259,62.761,1758.835,1783.819,1808.8029999999999,1832.2954999999997,1855.7879999999998,1878.8899999999999,1901.9920000000002
17,Morelos,2.644063688,2.8526375030000004,3.0612113180000002,2.7425044435,2.423797569,2.3745810284999997,2.325364488,399.24,439.1435,479.04699999999997,435.4385,391.83,389.882,387.934,15099.485,15374.210500000001,15648.936000000002,15907.445,16165.954,16424.336,16682.718
18,Nayarit,5.548225700000001,5.956691964,6.365158227999999,8.627310154,10.88946208,8.7432066785,6.5969512770000005,59.083,65.0355,70.988,98.77799999999999,126.568,103.10300000000001,79.638,1064.899,1090.079,1115.259,1138.7785,1162.298,1184.746,1207.194
19,Nuevo Leon,1.771532945,1.0265384025,0.28154386,1.007688259,1.733832658,1.3193140410000002,0.904795424,81.053,47.187,13.321,48.9075,84.494,64.973,45.452,4575.303,4653.3575,4731.412,4802.331,4873.25,4948.353,5023.456
20,Oaxaca,16.413957800000002,18.295660885,20.17736397,17.779039765,15.38071556,16.58000289,17.77929022,625.315,703.7615000000001,782.2080000000001,693.7265,605.245,657.242,709.2389999999999,3809.6540000000005,3843.1575000000003,3876.6609999999996,3905.8755,3935.09,3962.11,3989.13
21,Puebla,10.39931894,9.235120185500001,8.070921431,8.664660888,9.258400345,9.0857429625,8.91308558,597.215,535.962,474.709,515.817,556.925,551.8344999999999,546.744,5742.828,5812.274,5881.72,5948.534000000001,6015.348000000001,6074.76,6134.172
22,Queretaro,3.6212467669999997,4.739578954000001,5.857911141000001,5.098040449000001,4.338169757,3.7086557975,3.079141838,64.709,86.604,108.499,95.8155,83.132,72.033,60.934,1786.9260000000002,1819.5525,1852.1789999999999,1884.2355,1916.2920000000001,1947.6100000000001,1978.9279999999999
23,Quintana Roo,3.864724429,3.9079139089999995,3.9511033889999996,4.4538649045,4.95662642,4.383619219,3.810612018,49.178000000000004,51.502,53.826,62.899,71.972,65.3505,58.729,1272.484,1317.3935,1362.3029999999999,1407.1695,1452.036,1496.616,1541.1960000000001
24,San Luis Potosi,8.007770107,9.7856665035,11.5635629,9.442427333000001,7.321291766,6.8627533245,6.404214883,205.128,254.31199999999998,303.496,249.845,196.19400000000002,185.37300000000002,174.55200000000002,2561.612,2593.1005000000005,2624.5890000000004,2652.181,2679.7729999999997,2702.6764999999996,2725.58
25,Sinaloa,2.755948865,3.4770891534999997,4.198229442,3.62245432,3.046679198,3.1484575975,3.250235997,77.084,98.572,120.06,104.376,88.69200000000001,92.53200000000001,96.37200000000001,2797.0040000000004,2828.3905000000004,2859.777,2885.4405,2911.1040000000003,2938.0905000000002,2965.077
