Id,Estado,Anio,DIA_ING_MU_20_59,DIA_ING_MU_60_MAS,DIA_ING_HO_20_59,DIA_ING_HO_60_MAS,DIA_TRA_MU_20_59,DIA_TRA_MU_60_MAS,DIA_TRA_HO_20_59,DIA_TRA_HO_60_MAS,DIA_CON_MU_20_59,DIA_CON_MU_60_MAS,DIA_CON_HO_20_59,DIA_CON_MU_60_MAS,OBE_ING_MU_20_59,OBE_ING_MU_60_MAS,OBE_ING_HO_20_59,OBE_ING_HO_60_MAS,OBE_TRA_MU_20_59,OBE_TRA_MU_60_MAS,OBE_TRA_HO_20_59,OBE_TRA_HO_60_MAS,OBE_CON_MU_20_59,OBE_CON_MU_60_MAS,OBE_CON_HO_20_59,OBE_CON_MU_60_MAS
16,Michoacan,2011,1651,769,870,492,89114,58330,36349,28828,28322,21344,11731,10600,2072,437,705,437,66323,22836,23024,22836,9373,4834,3060,2309
17,Morelos,2011,1192,425,784,285,77913,40241,35276,19643,26212,16012,12502,8235,771,145,298,145,30316,9430,9420,9430,6676,2431,2097,985
18,Nayarit,2011,439,162,286,124,33564,21004,15094,13104,9229,6724,4175,3981,786,191,260,191,21397,6593,13350,6593,2565,1336,833,719
19,Nuevo Leon,2011,1529,355,866,318,84723,50552,36661,24836,51313,31149,21346,14736,1816,401,772,401,41778,14946,14165,14946,24201,8357,7828,4158
20,Oaxaca,2011,2124,650,1045,434,146654,72860,58298,34159,47362,25971,19490,12239,1862,352,600,352,75130,16738,20963,16738,7868,1544,2188,708
21,Puebla,2011,2058,846,1084,412,171367,104191,69259,44588,73863,49276,31853,22323,1759,379,693,379,64740,21990,20713,21990,15882,4288,4361,1908
22,Queretaro,2011,826,336,588,209,66886,36360,32857,15780,24494,13884,10385,5778,825,204,277,204,51994,21134,15316,21134,10626,4591,2685,1675
23,Quintana Roo,2011,841,209,507,154,40450,17036,14205,8113,14734,7076,5392,3289,1497,193,503,193,32373,9205,9613,9205,10495,3107,2805,1333
24,San Luis Potosi,2011,1645,698,885,434,117869,64629,46987,30799,59243,35725,22861,16773,2827,524,1163,524,132755,41008,47557,41008,50919,17949,19532,7673
25,Sinaloa,2011,2510,1133,1378,843,105920,75500,55256,45815,30443,20674,12006,12026,8090,3633,2078,3633,153419,31793,42713,31793,19248,4489,3794,2059
26,Sonora,2011,1410,433,727,353,54487,28974,22049,17035,21298,11757,7607,6371,2336,455,856,455,52341,14085,14179,14085,12874,4500,3176,2249
27,Tabasco,2011,1584,367,784,192,145605,56694,58408,28067,78036,29705,30355,14507,1913,229,715,229,63916,16429,26459,16429,22941,6186,9162,2938
28,Tamaulipas,2011,2118,768,1151,541,95410,49178,39120,26397,42450,23581,16752,12338,2375,517,787,517,69088,24559,23006,24559,28463,9534,9201,4716
29,Tlaxcala,2011,592,226,326,131,58153,36491,29209,20418,28631,19531,13928,10547,1055,173,450,173,70192,25829,28971,25829,29036,12160,12850,6006
30,Veracruz,2011,4050,1327,1904,771,319299,164383,105770,68320,88445,53393,33293,23616,2020,647,718,647,126322,44630,35727,44630,13698,5509,4427,2320
31,Yucatan,2011,571,140,307,99,78571,40077,24348,15479,27359,17825,9762,6984,1929,441,743,441,83629,24897,25554,24897,21478,7963,6054,3624
32,Zacatecas,2011,781,328,427,257,53190,37492,23220,20110,24343,18959,10453,9840,1183,324,451,324,84134,37491,23411,37491,21993,11284,6966,4602
1,Aguascalientes,2012,608,223,389,163,29569,13583,14262,7523,10159,5440,4458,2481,775,160,262,160,33544,12191,9004,12191,8672,3473,2537,1350
2,Baja California,2012,1646,572,1427,500,40154,17387,22574,13366,12674,5945,7178,4540,1870,283,664,283,30554,9582,9870,9582,8078,2438,2655,1355
3,Baja California Sur,2012,385,60,307,65,14111,5548,8895,4474,4691,2061,2563,1615,417,61,166,61,18220,4849,6187,4849,4717,1638,1378,840
4,Campeche,2012,535,118,232,71,38431,16208,13258,7703,15194,6477,5397,3252,603,93,282,93,28463,7561,9375,7561,6561,1782,2573,1084
5,Chiapas,2012,2856,1113,1111,578,117677,53336,38226,23138,36893,18786,12823,7918,1773,260,606,260,76513,12696,21282,12696,10433,1450,2600,718
6,Chihuahua,2012,1765,701,1103,554,97868,55679,47880,31264,40950,25670,20082,14599,2343,551,891,551,102070,39879,32597,39879,24067,10295,7850,5870
7,Ciudad De Mexico,2012,6633,4043,5082,2361,206542,130977,105976,65660,80362,59826,42648,27961,4539,891,1758,891,140060,48833,47750,48833,27455,11980,11694,4853
8,Coahuila,2012,398,165,195,83,24451,13899,6928,6037,9418,5535,2688,2649,636,151,267,151,21333,7837,4360,7837,5506,2035,1216,831
9,Colima,2012,468,124,269,123,28094,16933,14180,10328,9640,7243,4633,4683,455,86,213,86,23107,11786,9038,11786,8230,4967,3081,2281
10,Durango,2012,492,156,291,147,36552,20755,16515,12511,14593,8844,6737,5520,1308,241,423,241,50797,14685,14798,14685,14920,4738,4649,2489
11,Guanajuato,2012,2789,1076,1664,751,180163,106573,84908,60782,109577,69314,50868,38051,2414,827,956,827,164636,79791,49010,79791,98562,49576,28784,19360
12,Guerrero,2012,2308,846,1342,537,218006,119573,87848,55414,80158,48684,34116,22805,2859,545,1133,545,162952,46007,50002,46007,34943,11399,9839,4542
13,Hidalgo,2012,1604,888,760,463,102955,68856,38456,29000,36184,29251,13251,12473,1851,428,563,428,86946,39569,22850,39569,18384,8942,4231,3146
14,Jalisco,2012,2284,1038,1386,835,155175,108129,77714,66509,60417,45377,29775,27299,2168,579,839,579,136857,62181,45324,62181,41057,19996,13462,8273
15,Mexico,2012,9809,4532,5686,2699,400671,222947,197007,113137,138054,87059,65149,40580,7306,1367,3100,1367,200994,55926,66217,55926,42184,13357,14696,4675
16,Michoacan,2012,1584,722,828,485,95062,62328,40044,31486,30179,21837,12735,11451,1941,389,717,389,76142,28345,24518,28345,11868,5158,3867,2406
17,Morelos,2012,989,393,608,251,83897,41658,37912,21949,26299,16260,13071,8763,650,185,239,185,43681,11035,10581,11035,6750,2797,2446,1092
